protocol_version,milestone_id,measured_behavior_row_id,seed_panel_id,seed_index,evidence_layer,surface_id,scenario_role,fixture_id,base_fixture_id,subject_id,seed,mitigation_reference_subject,collision_event,obstacle_passed_event,road_departure_event,minimum_obstacle_clearance_m,minimum_road_margin_m,final_road_margin_m,collision_speed_proxy,impact_angle_proxy,severity_proxy,mitigation_delta_against_reference,recovery_time_proxy_s,diagnostic_only_no_ranking_claim,claim_scope,forbidden_interpretation
engineering_controller_behavior_outcome_v0,m2523-engineering-controller-source-only-fresh-seed-measured-behavior-panel-preflight,m2523_coast_open_loop_stable_aes_seed_252300,m2523_stable_aes_seed_252300,0,source_only_diagnostic,source_only_four_wheel_hf0,stable_aes,hf0_four_wheel_stable_aes_fixture_fresh_seed_252300,hf0_four_wheel_stable_aes_fixture,coast_open_loop,252300,straight_full_brake_open_loop,true,true,false,-1.03298339256,2.01962002632,2.01962002632,8.67924432097,3.99315490049e-05,8.95975156392,8.95975156392,0,true,source-only fresh-seed measured behavior panel preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, or self-ID claim"
engineering_controller_behavior_outcome_v0,m2523-engineering-controller-source-only-fresh-seed-measured-behavior-panel-preflight,m2523_m1154_policy_actor_stable_aes_seed_252300,m2523_stable_aes_seed_252300,0,source_only_diagnostic,source_only_four_wheel_hf0,stable_aes,hf0_four_wheel_stable_aes_fixture_fresh_seed_252300,hf0_four_wheel_stable_aes_fixture,m1154_policy_actor,252300,straight_full_brake_open_loop,false,false,true,7.14418429565,-6.56876407851,-6.56876407851,0,0,0,0,0,true,source-only fresh-seed measured behavior panel preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, or self-ID claim"
engineering_controller_behavior_outcome_v0,m2523-engineering-controller-source-only-fresh-seed-measured-behavior-panel-preflight,m2523_straight_full_brake_open_loop_stable_aes_seed_252300,m2523_stable_aes_seed_252300,0,source_only_diagnostic,source_only_four_wheel_hf0,stable_aes,hf0_four_wheel_stable_aes_fixture_fresh_seed_252300,hf0_four_wheel_stable_aes_fixture,straight_full_brake_open_loop,252300,straight_full_brake_open_loop,false,false,false,2.15383726742,2.05524315087,2.07031178947,0,0,0,0,0,true,source-only fresh-seed measured behavior panel preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, or self-ID claim"
engineering_controller_behavior_outcome_v0,m2523-engineering-controller-source-only-fresh-seed-measured-behavior-panel-preflight,m2523_coast_open_loop_stable_aes_seed_252301,m2523_stable_aes_seed_252301,1,source_only_diagnostic,source_only_four_wheel_hf0,stable_aes,hf0_four_wheel_stable_aes_fixture_fresh_seed_252301,hf0_four_wheel_stable_aes_fixture,coast_open_loop,252301,straight_full_brake_open_loop,true,true,false,-0.726127268389,1.90844551432,1.98964453337,9.15216908886,0.000178249558161,6.64302735787,6.64302735787,0,true,source-only fresh-seed measured behavior panel preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, or self-ID claim"
engineering_controller_behavior_outcome_v0,m2523-engineering-controller-source-only-fresh-seed-measured-behavior-panel-preflight,m2523_m1154_policy_actor_stable_aes_seed_252301,m2523_stable_aes_seed_252301,1,source_only_diagnostic,source_only_four_wheel_hf0,stable_aes,hf0_four_wheel_stable_aes_fixture_fresh_seed_252301,hf0_four_wheel_stable_aes_fixture,m1154_policy_actor,252301,straight_full_brake_open_loop,false,false,true,6.24421970776,-6.47203464783,-6.47203464783,0,0,0,0,0,true,source-only fresh-seed measured behavior panel preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, or self-ID claim"
engineering_controller_behavior_outcome_v0,m2523-engineering-controller-source-only-fresh-seed-measured-behavior-panel-preflight,m2523_straight_full_brake_open_loop_stable_aes_seed_252301,m2523_stable_aes_seed_252301,1,source_only_diagnostic,source_only_four_wheel_hf0,stable_aes,hf0_four_wheel_stable_aes_fixture_fresh_seed_252301,hf0_four_wheel_stable_aes_fixture,straight_full_brake_open_loop,252301,straight_full_brake_open_loop,false,false,false,0.532306836599,1.9084439185,2.08778739554,0,0,0,0,0,true,source-only fresh-seed measured behavior panel preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, or self-ID claim"
engineering_controller_behavior_outcome_v0,m2523-engineering-controller-source-only-fresh-seed-measured-behavior-panel-preflight,m2523_coast_open_loop_stable_aes_seed_252302,m2523_stable_aes_seed_252302,2,source_only_diagnostic,source_only_four_wheel_hf0,stable_aes,hf0_four_wheel_stable_aes_fixture_fresh_seed_252302,hf0_four_wheel_stable_aes_fixture,coast_open_loop,252302,straight_full_brake_open_loop,true,true,false,-1.52300515529,1.83033469947,1.83033469947,9.00857095396,6.53613674141e-05,13.7083877023,13.7083877023,0,true,source-only fresh-seed measured behavior panel preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, or self-ID claim"
engineering_controller_behavior_outcome_v0,m2523-engineering-controller-source-only-fresh-seed-measured-behavior-panel-preflight,m2523_m1154_policy_actor_stable_aes_seed_252302,m2523_stable_aes_seed_252302,2,source_only_diagnostic,source_only_four_wheel_hf0,stable_aes,hf0_four_wheel_stable_aes_fixture_fresh_seed_252302,hf0_four_wheel_stable_aes_fixture,m1154_policy_actor,252302,straight_full_brake_open_loop,false,false,true,6.29844712035,-7.35378512774,-7.35378512774,0,0,0,0,0,true,source-only fresh-seed measured behavior panel preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, or self-ID claim"
engineering_controller_behavior_outcome_v0,m2523-engineering-controller-source-only-fresh-seed-measured-behavior-panel-preflight,m2523_straight_full_brake_open_loop_stable_aes_seed_252302,m2523_stable_aes_seed_252302,2,source_only_diagnostic,source_only_four_wheel_hf0,stable_aes,hf0_four_wheel_stable_aes_fixture_fresh_seed_252302,hf0_four_wheel_stable_aes_fixture,straight_full_brake_open_loop,252302,straight_full_brake_open_loop,false,false,false,0.00941900997921,1.90186094646,1.90186094646,0,0,0,0,0,true,source-only fresh-seed measured behavior panel preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, or self-ID claim"
engineering_controller_behavior_outcome_v0,m2523-engineering-controller-source-only-fresh-seed-measured-behavior-panel-preflight,m2523_coast_open_loop_stable_aes_seed_252303,m2523_stable_aes_seed_252303,3,source_only_diagnostic,source_only_four_wheel_hf0,stable_aes,hf0_four_wheel_stable_aes_fixture_fresh_seed_252303,hf0_four_wheel_stable_aes_fixture,coast_open_loop,252303,straight_full_brake_open_loop,true,false,false,-1.62762640877,1.72812704073,1.72812704073,8.33089649353,2.66778875608e-05,13.5277981918,13.5277981918,0,true,source-only fresh-seed measured behavior panel preflight only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, current-sim verdict, or self-ID claim"
