slice_kind,dominance_type,episode_count,success_count,collision_count,offtrack_outcome_count,collision_rate,offtrack_outcome_rate,support_label,profile_name,repair_source_kind,source_role_semantics,parent_feasibility_tier_id,normalized_surface_variant,sampled_obstacle_label
outcome_by_repair_source_kind,offtrack,288,0,0,288,0.0,1.0,no_support,,anchor_neighborhood,,,,
outcome_by_repair_source_kind,offtrack,192,0,0,192,0.0,1.0,no_support,,offtrack_boundary_relief,,,,
outcome_by_selection_quota,offtrack,288,0,0,288,0.0,1.0,no_support,,,,,,
outcome_by_selection_quota,offtrack,192,0,0,192,0.0,1.0,no_support,,,,,,
outcome_by_role,offtrack,384,9,0,375,0.0,0.9765625,weak_support,,,stable_aeb,,,
outcome_by_role,offtrack,252,17,2,233,0.007936507936507936,0.9246031746031746,weak_support,,,stable_aes_only,,,
outcome_by_parent_tier,offtrack,384,13,0,371,0.0,0.9661458333333334,weak_support,,,,tier_c_boundary_near_miss,,
outcome_by_parent_tier,offtrack,192,0,0,192,0.0,1.0,no_support,,,,tier_not_applicable_offtrack_boundary_relief,,
outcome_by_normalized_surface,offtrack,480,34,18,428,0.0375,0.8916666666666667,weak_support,,,,,post_friction_step,
outcome_by_normalized_surface,offtrack,192,0,0,192,0.0,1.0,no_support,,,,,relief_surface_unspecified,
outcome_by_sampled_label,offtrack,384,9,0,375,0.0,0.9765625,weak_support,,,,,,aeb_feasible
outcome_by_sampled_label,offtrack,252,17,2,233,0.007936507936507936,0.9246031746031746,weak_support,,,,,,aes_feasible
outcome_by_base_geometry,offtrack,12,0,0,12,0.0,1.0,no_support,,,,,,
outcome_by_base_geometry,offtrack,192,0,0,192,0.0,1.0,no_support,,,,,,
outcome_by_base_geometry,offtrack,288,0,0,288,0.0,1.0,no_support,,,,,,
outcome_by_profile_source_kind,offtrack,24,0,0,24,0.0,1.0,no_support,L0_current_masked,anchor_neighborhood,,,,
outcome_by_profile_source_kind,offtrack,16,0,0,16,0.0,1.0,no_support,L0_current_masked,offtrack_boundary_relief,,,,
outcome_by_profile_source_kind,offtrack,24,0,0,24,0.0,1.0,no_support,L1_one_step,anchor_neighborhood,,,,
outcome_by_profile_source_kind,offtrack,16,0,0,16,0.0,1.0,no_support,L1_one_step,offtrack_boundary_relief,,,,
outcome_by_profile_source_kind,offtrack,24,0,0,24,0.0,1.0,no_support,L2_window_100,anchor_neighborhood,,,,
outcome_by_profile_source_kind,offtrack,16,0,0,16,0.0,1.0,no_support,L2_window_100,offtrack_boundary_relief,,,,
outcome_by_profile_source_kind,offtrack,20,0,3,17,0.15,0.85,no_support,L2_window_100,success_stabilizer,,,,
outcome_by_profile_source_kind,offtrack,24,0,0,24,0.0,1.0,no_support,L2_window_100_current_tiled,anchor_neighborhood,,,,
outcome_by_profile_source_kind,offtrack,16,0,0,16,0.0,1.0,no_support,L2_window_100_current_tiled,offtrack_boundary_relief,,,,
outcome_by_profile_source_kind,offtrack,20,0,3,17,0.15,0.85,no_support,L2_window_100_current_tiled,success_stabilizer,,,,
outcome_by_profile_source_kind,offtrack,24,0,0,24,0.0,1.0,no_support,L2_window_13,anchor_neighborhood,,,,
outcome_by_profile_source_kind,offtrack,16,0,0,16,0.0,1.0,no_support,L2_window_13,offtrack_boundary_relief,,,,
outcome_by_profile_source_kind,offtrack,20,0,3,17,0.15,0.85,no_support,L2_window_13,success_stabilizer,,,,
outcome_by_profile_source_kind,offtrack,24,0,0,24,0.0,1.0,no_support,L2_window_13_current_tiled,anchor_neighborhood,,,,
outcome_by_profile_source_kind,offtrack,16,0,0,16,0.0,1.0,no_support,L2_window_13_current_tiled,offtrack_boundary_relief,,,,
outcome_by_profile_source_kind,offtrack,20,0,4,16,0.2,0.8,no_support,L2_window_13_current_tiled,success_stabilizer,,,,
outcome_by_profile_source_kind,offtrack,24,0,0,24,0.0,1.0,no_support,L2_window_25,anchor_neighborhood,,,,
outcome_by_profile_source_kind,offtrack,16,0,0,16,0.0,1.0,no_support,L2_window_25,offtrack_boundary_relief,,,,
outcome_by_profile_source_kind,offtrack,24,0,0,24,0.0,1.0,no_support,L2_window_25_current_tiled,anchor_neighborhood,,,,
outcome_by_profile_source_kind,offtrack,16,0,0,16,0.0,1.0,no_support,L2_window_25_current_tiled,offtrack_boundary_relief,,,,
outcome_by_profile_source_kind,offtrack,20,0,3,17,0.15,0.85,no_support,L2_window_25_current_tiled,success_stabilizer,,,,
outcome_by_profile_source_kind,offtrack,24,0,0,24,0.0,1.0,no_support,L2_window_50,anchor_neighborhood,,,,
outcome_by_profile_source_kind,offtrack,16,0,0,16,0.0,1.0,no_support,L2_window_50,offtrack_boundary_relief,,,,
