profile_name,normalized_surface_variant,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
L0_current_masked,post_friction_step,outcome_by_profile_normalized_surface,candidate_support,40,8,2,30,30,0.2,0.05,0.75,0.75,25.693030594435545,11.264331796634421,24.85,True,8,2,30,30,2,8
L0_current_masked,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,10.70494947776517,8.015476520527177,22.875,True,0,0,16,16,0,0
L0_current_masked,steady_surface,outcome_by_profile_normalized_surface,weak_support,24,1,20,3,3,0.041666666666666664,0.8333333333333334,0.125,0.125,0.6734593900298665,-6.29770342779877,14.416666666666666,True,1,20,3,3,20,1
L1_one_step,post_friction_step,outcome_by_profile_normalized_surface,weak_support,40,7,1,32,32,0.175,0.025,0.8,0.8,25.448127979034602,11.37187976577037,25.225,True,7,1,32,32,1,7
L1_one_step,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,10.74334561821295,8.6530180072824,22.8125,True,0,0,16,16,0,0
L1_one_step,steady_surface,outcome_by_profile_normalized_surface,weak_support,24,2,20,2,2,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.6420117925731924,-3.952556281005961,15.125,True,2,20,2,2,20,2
L2_window_100,post_friction_step,outcome_by_profile_normalized_surface,no_support,40,0,1,39,39,0.0,0.025,0.975,0.975,27.434284204217953,3.006037812126386,20.85,True,0,1,39,39,1,0
L2_window_100,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.381012255927082,4.1901408000298055,19.8125,True,0,0,16,16,0,0
L2_window_100,steady_surface,outcome_by_profile_normalized_surface,no_support,24,0,21,3,3,0.0,0.875,0.125,0.125,0.9492118497501348,-9.643852632990258,13.375,True,0,21,3,3,21,0
L2_window_100_current_tiled,post_friction_step,outcome_by_profile_normalized_surface,no_support,40,0,1,39,39,0.0,0.025,0.975,0.975,27.188871158687057,3.1320348415637893,21.05,True,0,1,39,39,1,0
L2_window_100_current_tiled,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.190069135996618,3.878791826414213,19.9375,True,0,0,16,16,0,0
L2_window_100_current_tiled,steady_surface,outcome_by_profile_normalized_surface,no_support,24,0,21,3,3,0.0,0.875,0.125,0.125,0.9997208167423138,-9.842000023970987,13.333333333333334,True,0,21,3,3,21,0
L2_window_13,post_friction_step,outcome_by_profile_normalized_surface,no_support,40,0,1,39,39,0.0,0.025,0.975,0.975,27.35161649950725,3.0479926274068196,20.95,True,0,1,39,39,1,0
L2_window_13,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.630154046321046,3.7023051301010357,19.5,True,0,0,16,16,0,0
L2_window_13,steady_surface,outcome_by_profile_normalized_surface,no_support,24,0,21,3,3,0.0,0.875,0.125,0.125,0.9290453559445774,-9.54307557359382,13.416666666666666,True,0,21,3,3,21,0
L2_window_13_current_tiled,post_friction_step,outcome_by_profile_normalized_surface,no_support,40,0,2,38,39,0.0,0.05,0.95,0.975,27.498930909861308,3.046181658178682,20.65,True,0,2,38,39,1,0
L2_window_13_current_tiled,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,11.932711727955684,6.106492408254444,20.25,True,0,0,16,16,0,0
L2_window_13_current_tiled,steady_surface,outcome_by_profile_normalized_surface,no_support,24,0,21,3,4,0.0,0.875,0.125,0.16666666666666666,1.0158553197425848,-10.116636272106055,13.291666666666666,True,0,21,3,4,20,0
L2_window_25,post_friction_step,outcome_by_profile_normalized_surface,no_support,40,0,3,37,38,0.0,0.075,0.925,0.95,27.36000033562944,2.9065179497294986,20.9,True,0,3,37,38,2,0
L2_window_25,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.143437910610688,4.194676831703251,20.125,True,0,0,16,16,0,0
L2_window_25,steady_surface,outcome_by_profile_normalized_surface,no_support,24,0,21,3,4,0.0,0.875,0.125,0.16666666666666666,0.8475653383583827,-9.8097842930632,13.583333333333334,True,0,21,3,4,20,0
L2_window_25_current_tiled,post_friction_step,outcome_by_profile_normalized_surface,no_support,40,0,1,39,39,0.0,0.025,0.975,0.975,27.499230360218593,3.4455518051899623,20.65,True,0,1,39,39,1,0
L2_window_25_current_tiled,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.727951931461451,3.9412426516069385,19.3125,True,0,0,16,16,0,0
L2_window_25_current_tiled,steady_surface,outcome_by_profile_normalized_surface,no_support,24,0,21,3,4,0.0,0.875,0.125,0.16666666666666666,0.9371007609527311,-9.45632576738326,13.375,True,0,21,3,4,20,0
L2_window_50,post_friction_step,outcome_by_profile_normalized_surface,no_support,40,0,1,39,39,0.0,0.025,0.975,0.975,27.36134262161629,3.720052889080275,20.975,True,0,1,39,39,1,0
L2_window_50,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.304570250349077,3.771186034624045,19.875,True,0,0,16,16,0,0
L2_window_50,steady_surface,outcome_by_profile_normalized_surface,no_support,24,0,21,3,4,0.0,0.875,0.125,0.16666666666666666,1.0376641843764445,-9.648828412974312,13.291666666666666,True,0,21,3,4,20,0
L2_window_50_current_tiled,post_friction_step,outcome_by_profile_normalized_surface,no_support,40,0,1,39,39,0.0,0.025,0.975,0.975,27.585336636867034,3.2535244328488035,20.525,True,0,1,39,39,1,0
L2_window_50_current_tiled,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.685047007807825,3.941874337661621,19.375,True,0,0,16,16,0,0
L2_window_50_current_tiled,steady_surface,outcome_by_profile_normalized_surface,no_support,24,0,21,3,3,0.0,0.875,0.125,0.125,0.9339061237772827,-9.233212674942907,13.375,True,0,21,3,3,21,0
L3_online_gru,post_friction_step,outcome_by_profile_normalized_surface,candidate_support,40,10,2,28,28,0.25,0.05,0.7,0.7,25.622139113936715,15.702690261428803,24.6,True,10,2,28,28,2,10
L3_online_gru,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,10.85599427837603,10.552633454283388,21.8125,True,0,0,16,16,0,0
L3_online_gru,steady_surface,outcome_by_profile_normalized_surface,weak_support,24,1,20,3,3,0.041666666666666664,0.8333333333333334,0.125,0.125,0.5697145008254055,-4.079949307715709,14.291666666666666,True,1,20,3,3,20,1
L3_reset_control_corrected,post_friction_step,outcome_by_profile_normalized_surface,candidate_support,40,9,2,29,29,0.225,0.05,0.725,0.725,25.5293610273782,15.405035152265649,24.7,True,9,2,29,29,2,9
L3_reset_control_corrected,relief_surface_unspecified,outcome_by_profile_normalized_surface,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,10.783097448169602,9.868057666438474,22.0,True,0,0,16,16,0,0
L3_reset_control_corrected,steady_surface,outcome_by_profile_normalized_surface,weak_support,24,2,19,3,3,0.08333333333333333,0.7916666666666666,0.125,0.125,0.6516705312785079,-3.211948883199104,14.333333333333334,True,2,19,3,3,19,2
