repair_source_kind,source_role_semantics,normalized_surface_variant,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
anchor_neighborhood,stable_aeb,post_friction_step,outcome_by_source_kind_role_surface,no_support,288,0,0,288,288,0.0,0.0,1.0,1.0,41.85437811251789,5.521559131527262,19.56597222222222,True,0,0,288,288,0,0
mitigation_isolation_check,drift_required_recovery,steady_surface,outcome_by_source_kind_role_surface,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,7.0027669743487175,5.592742838218449,18.333333333333332,True,0,0,12,12,0,0
mitigation_isolation_check,unavoidable_mitigation,steady_surface,outcome_by_source_kind_role_surface,no_support,228,0,228,0,1,0.0,1.0,0.0,0.0043859649122807015,-0.3936127851997085,-10.762951816064378,11.162280701754385,True,0,228,0,1,227,0
offtrack_boundary_relief,stable_aes_only,relief_surface_unspecified,outcome_by_source_kind_role_surface,no_support,192,0,0,192,192,0.0,0.0,1.0,1.0,11.840195090746102,5.901324639077232,20.640625,True,0,0,192,192,0,0
success_stabilizer,drift_required_recovery,post_friction_step,outcome_by_source_kind_role_surface,weak_support,36,7,0,29,29,0.19444444444444445,0.0,0.8055555555555556,0.8055555555555556,2.6165522078263193,9.703554837354927,26.61111111111111,True,7,0,29,29,0,7
success_stabilizer,drift_required_recovery,steady_surface,outcome_by_source_kind_role_surface,candidate_support,24,5,19,0,3,0.20833333333333334,0.7916666666666666,0.0,0.125,-0.08093987530637559,-1.3834449972700604,23.375,True,5,19,0,3,16,5
success_stabilizer,stable_aeb,post_friction_step,outcome_by_source_kind_role_surface,weak_support,72,8,0,64,64,0.1111111111111111,0.0,0.8888888888888888,0.8888888888888888,7.862552278863234,6.84165336181854,25.875,True,8,0,64,64,0,8
success_stabilizer,stable_aeb,steady_surface,outcome_by_source_kind_role_surface,weak_support,24,1,0,23,23,0.041666666666666664,0.0,0.9583333333333334,0.9583333333333334,10.505803811880671,5.999242280028066,26.625,True,1,0,23,23,0,1
success_stabilizer,stable_aes_only,post_friction_step,outcome_by_source_kind_role_surface,comparison_ready_candidate_without_profile_diversity_check,60,17,2,41,42,0.2833333333333333,0.03333333333333333,0.6833333333333333,0.7,2.4621094991705004,12.153237011763846,26.4,True,17,2,41,42,1,17
success_stabilizer,unavoidable_mitigation,post_friction_step,outcome_by_source_kind_role_surface,weak_support,24,2,16,6,7,0.08333333333333333,0.6666666666666666,0.25,0.2916666666666667,0.033489489179798,0.4476238711476664,24.875,True,2,16,6,7,15,2
