slice_kind,dominance_type,episode_count,success_count,collision_count,offtrack_outcome_count,collision_rate,offtrack_outcome_rate,support_label,profile_name,repair_source_kind,source_role_semantics,parent_feasibility_tier_id,normalized_surface_variant,sampled_obstacle_label
outcome_by_profile,collision,80,0,24,56,0.3,0.7,no_support,L2_window_25,,,,,
outcome_by_repair_source_kind,collision,240,0,228,12,0.95,0.05,no_support,,mitigation_isolation_check,,,,
outcome_by_selection_quota,collision,144,0,144,0,1.0,0.0,no_support,,,,,,
outcome_by_selection_quota,collision,96,0,84,12,0.875,0.125,no_support,,,,,,
outcome_by_role,collision,252,2,244,6,0.9682539682539683,0.023809523809523808,weak_support,,,unavoidable_mitigation,,,
outcome_by_parent_tier,collision,240,0,228,12,0.95,0.05,no_support,,,,tier_d_handling_limit_drift_required,,
outcome_by_parent_tier,collision,60,8,19,33,0.31666666666666665,0.55,candidate_support,,,,tier_e_mitigation_only,,
outcome_by_normalized_surface,collision,288,6,247,35,0.8576388888888888,0.12152777777777778,candidate_support,,,,,steady_surface,
outcome_by_sampled_label,collision,252,2,244,6,0.9682539682539683,0.023809523809523808,weak_support,,,,,,unavoidable
outcome_by_base_geometry,collision,144,0,144,0,1.0,0.0,no_support,,,,,,
outcome_by_base_geometry,collision,84,0,84,0,1.0,0.0,no_support,,,,,,
outcome_by_profile_source_kind,collision,20,0,19,1,0.95,0.05,no_support,L0_current_masked,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,20,0,19,1,0.95,0.05,no_support,L1_one_step,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,20,0,19,1,0.95,0.05,no_support,L2_window_100,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,20,0,19,1,0.95,0.05,no_support,L2_window_100_current_tiled,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,20,0,19,1,0.95,0.05,no_support,L2_window_13,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,20,0,19,1,0.95,0.05,no_support,L2_window_13_current_tiled,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,20,0,19,1,0.95,0.05,no_support,L2_window_25,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,20,0,19,1,0.95,0.05,no_support,L2_window_25_current_tiled,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,20,0,19,1,0.95,0.05,no_support,L2_window_50,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,20,0,19,1,0.95,0.05,no_support,L2_window_50_current_tiled,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,20,0,19,1,0.95,0.05,no_support,L3_online_gru,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,20,0,19,1,0.95,0.05,no_support,L3_reset_control_corrected,mitigation_isolation_check,,,,
outcome_by_profile_parent_tier,collision,20,0,19,1,0.95,0.05,no_support,L0_current_masked,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,20,0,19,1,0.95,0.05,no_support,L1_one_step,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,20,0,19,1,0.95,0.05,no_support,L2_window_100,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,5,0,2,3,0.4,0.6,no_support,L2_window_100,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,collision,20,0,19,1,0.95,0.05,no_support,L2_window_100_current_tiled,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,5,0,2,3,0.4,0.6,no_support,L2_window_100_current_tiled,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,collision,20,0,19,1,0.95,0.05,no_support,L2_window_13,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,5,0,2,3,0.4,0.6,no_support,L2_window_13,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,collision,20,0,19,1,0.95,0.05,no_support,L2_window_13_current_tiled,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,5,0,2,3,0.4,0.6,no_support,L2_window_13_current_tiled,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,collision,7,0,3,4,0.42857142857142855,0.5714285714285714,no_support,L2_window_25,,,tier_b_feasible_emergency,,
outcome_by_profile_parent_tier,collision,20,0,19,1,0.95,0.05,no_support,L2_window_25,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,5,0,2,3,0.4,0.6,no_support,L2_window_25,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,collision,20,0,19,1,0.95,0.05,no_support,L2_window_25_current_tiled,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,5,0,2,3,0.4,0.6,no_support,L2_window_25_current_tiled,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,collision,20,0,19,1,0.95,0.05,no_support,L2_window_50,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,5,0,2,3,0.4,0.6,no_support,L2_window_50,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,collision,20,0,19,1,0.95,0.05,no_support,L2_window_50_current_tiled,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,5,0,2,3,0.4,0.6,no_support,L2_window_50_current_tiled,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,collision,20,0,19,1,0.95,0.05,no_support,L3_online_gru,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,20,0,19,1,0.95,0.05,no_support,L3_reset_control_corrected,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_normalized_surface,collision,24,1,20,3,0.8333333333333334,0.125,weak_support,L0_current_masked,,,,steady_surface,
